Country,State,Year,Gender,Type Of Action Against The Crime,"Number Of Persons Arrested (UOM:Number), Scaling Factor:1"
India,Kerala,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Arrested,0
India,Kerala,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Charge sheeted,0
India,Kerala,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Convicted,0
India,Kerala,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Discharged,0
India,Kerala,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Acquitted,0
India,Kerala,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Arrested,1003
India,Kerala,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Charge sheeted,1017
India,Kerala,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Discharged,2
India,Kerala,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Acquitted,36
India,Kerala,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),,28
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Male,Persons Arrested,0
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Male,Persons Charge sheeted,0
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Male,Persons Convicted,0
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Male,Persons Discharged,0
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Male,Persons Acquitted,0
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Female,Persons Arrested,0
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Female,Persons Charge sheeted,0
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Female,Persons Convicted,0
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Female,Persons Discharged,0
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Female,Persons Acquitted,0
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Arrested,0
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Charge sheeted,0
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Convicted,0
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Discharged,0
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Acquitted,0
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Arrested,0
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Charge sheeted,0
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Discharged,0
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Acquitted,0
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Male,Persons Arrested,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Male,Persons Charge sheeted,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Male,Persons Convicted,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Male,Persons Discharged,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Male,Persons Acquitted,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Female,Persons Arrested,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Female,Persons Charge sheeted,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Female,Persons Convicted,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Female,Persons Discharged,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Female,Persons Acquitted,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Arrested,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Charge sheeted,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Convicted,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Discharged,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Acquitted,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Arrested,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Charge sheeted,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Discharged,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Acquitted,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Male,Persons Arrested,2841
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Male,Persons Charge sheeted,8231
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Male,Persons Convicted,935
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Male,Persons Discharged,112
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Male,Persons Acquitted,1424
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Female,Persons Arrested,231
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Female,Persons Charge sheeted,695
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Female,Persons Convicted,33
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Female,Persons Discharged,9
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Female,Persons Acquitted,59
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Arrested,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Charge sheeted,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Convicted,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Discharged,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Acquitted,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Arrested,3072
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Charge sheeted,8926
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Discharged,121
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Acquitted,1483
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),,968
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Male,Persons Arrested,4772
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Male,Persons Charge sheeted,5248
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Male,Persons Convicted,72
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Male,Persons Discharged,3
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Male,Persons Acquitted,676
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Female,Persons Arrested,347
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Female,Persons Charge sheeted,448
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Female,Persons Convicted,2
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Female,Persons Discharged,0
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Female,Persons Acquitted,36
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Arrested,0
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Charge sheeted,1
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Convicted,0
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Discharged,0
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Acquitted,0
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Arrested,5119
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Charge sheeted,5697
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Discharged,3
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Acquitted,712
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),,74
India,Manipur,"Calendar Year (Jan - Dec), 2021",Male,Persons Arrested,1
India,Manipur,"Calendar Year (Jan - Dec), 2021",Male,Persons Charge sheeted,0
India,Manipur,"Calendar Year (Jan - Dec), 2021",Male,Persons Convicted,0
India,Manipur,"Calendar Year (Jan - Dec), 2021",Male,Persons Discharged,0
India,Manipur,"Calendar Year (Jan - Dec), 2021",Male,Persons Acquitted,0
India,Manipur,"Calendar Year (Jan - Dec), 2021",Female,Persons Arrested,0
India,Manipur,"Calendar Year (Jan - Dec), 2021",Female,Persons Charge sheeted,0
India,Manipur,"Calendar Year (Jan - Dec), 2021",Female,Persons Convicted,0
India,Manipur,"Calendar Year (Jan - Dec), 2021",Female,Persons Discharged,0
India,Manipur,"Calendar Year (Jan - Dec), 2021",Female,Persons Acquitted,0
India,Manipur,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Arrested,0
India,Manipur,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Charge sheeted,0
India,Manipur,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Convicted,0
India,Manipur,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Discharged,0
India,Manipur,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Acquitted,0
India,Manipur,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Arrested,1
India,Manipur,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Charge sheeted,0
India,Manipur,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Discharged,0
India,Manipur,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Acquitted,0
India,Manipur,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Male,Persons Arrested,1
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Male,Persons Charge sheeted,1
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Male,Persons Convicted,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Male,Persons Discharged,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Male,Persons Acquitted,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Female,Persons Arrested,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Female,Persons Charge sheeted,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Female,Persons Convicted,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Female,Persons Discharged,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Female,Persons Acquitted,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Arrested,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Charge sheeted,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Convicted,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Discharged,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Acquitted,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Arrested,1
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Charge sheeted,1
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Discharged,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Acquitted,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Male,Persons Arrested,5
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Male,Persons Charge sheeted,5
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Male,Persons Convicted,3
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Male,Persons Discharged,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Male,Persons Acquitted,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Female,Persons Arrested,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Female,Persons Charge sheeted,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Female,Persons Convicted,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Female,Persons Discharged,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Female,Persons Acquitted,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Arrested,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Charge sheeted,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Convicted,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Discharged,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Acquitted,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Arrested,5
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Charge sheeted,5
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Discharged,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Acquitted,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),,3
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Male,Persons Arrested,10
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Male,Persons Charge sheeted,4
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Male,Persons Convicted,0
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Male,Persons Discharged,0
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Male,Persons Acquitted,0
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Female,Persons Arrested,0
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Female,Persons Charge sheeted,0
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Female,Persons Convicted,0
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Female,Persons Discharged,0
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Female,Persons Acquitted,0
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Arrested,0
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Charge sheeted,0
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Convicted,0
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Discharged,0
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Acquitted,0
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Arrested,10
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Charge sheeted,4
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Discharged,0
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Acquitted,0
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),,0
India,Odisha,"Calendar Year (Jan - Dec), 2021",Male,Persons Arrested,75
India,Odisha,"Calendar Year (Jan - Dec), 2021",Male,Persons Charge sheeted,261
India,Odisha,"Calendar Year (Jan - Dec), 2021",Male,Persons Convicted,0
India,Odisha,"Calendar Year (Jan - Dec), 2021",Male,Persons Discharged,0
India,Odisha,"Calendar Year (Jan - Dec), 2021",Male,Persons Acquitted,0
India,Odisha,"Calendar Year (Jan - Dec), 2021",Female,Persons Arrested,2
India,Odisha,"Calendar Year (Jan - Dec), 2021",Female,Persons Charge sheeted,45
India,Odisha,"Calendar Year (Jan - Dec), 2021",Female,Persons Convicted,0
India,Odisha,"Calendar Year (Jan - Dec), 2021",Female,Persons Discharged,0
India,Odisha,"Calendar Year (Jan - Dec), 2021",Female,Persons Acquitted,0
India,Odisha,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Arrested,0
India,Odisha,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Charge sheeted,0
India,Odisha,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Convicted,0
India,Odisha,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Discharged,0
India,Odisha,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Acquitted,0
India,Odisha,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Arrested,77
India,Odisha,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Charge sheeted,306
India,Odisha,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Discharged,0
India,Odisha,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Acquitted,0
India,Odisha,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),,0
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Male,Persons Arrested,0
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Male,Persons Charge sheeted,0
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Male,Persons Convicted,0
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Male,Persons Discharged,0
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Male,Persons Acquitted,0
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Female,Persons Arrested,0
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Female,Persons Charge sheeted,0
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Female,Persons Convicted,0
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Female,Persons Discharged,0
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Female,Persons Acquitted,0
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Arrested,0
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Charge sheeted,0
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Convicted,0
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Discharged,0
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Acquitted,0
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Arrested,0
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Charge sheeted,0
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Discharged,0
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Acquitted,0
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),,0
India,Punjab,"Calendar Year (Jan - Dec), 2021",Male,Persons Arrested,445
India,Punjab,"Calendar Year (Jan - Dec), 2021",Male,Persons Charge sheeted,389
India,Punjab,"Calendar Year (Jan - Dec), 2021",Male,Persons Convicted,29
India,Punjab,"Calendar Year (Jan - Dec), 2021",Male,Persons Discharged,4
India,Punjab,"Calendar Year (Jan - Dec), 2021",Male,Persons Acquitted,68
India,Punjab,"Calendar Year (Jan - Dec), 2021",Female,Persons Arrested,44
India,Punjab,"Calendar Year (Jan - Dec), 2021",Female,Persons Charge sheeted,37
India,Punjab,"Calendar Year (Jan - Dec), 2021",Female,Persons Convicted,3
India,Punjab,"Calendar Year (Jan - Dec), 2021",Female,Persons Discharged,0
India,Punjab,"Calendar Year (Jan - Dec), 2021",Female,Persons Acquitted,2
India,Punjab,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Arrested,0
India,Punjab,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Charge sheeted,0
India,Punjab,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Convicted,0
India,Punjab,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Discharged,0
India,Punjab,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Acquitted,0
India,Punjab,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Arrested,489
India,Punjab,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Charge sheeted,426
India,Punjab,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Discharged,4
India,Punjab,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Acquitted,70
India,Punjab,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),,32
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Male,Persons Arrested,269
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Male,Persons Charge sheeted,288
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Male,Persons Convicted,89
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Male,Persons Discharged,19
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Male,Persons Acquitted,61
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Female,Persons Arrested,2
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Female,Persons Charge sheeted,2
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Female,Persons Convicted,3
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Female,Persons Discharged,0
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Female,Persons Acquitted,3
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Arrested,0
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Charge sheeted,0
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Convicted,0
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Discharged,0
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Acquitted,0
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Arrested,271
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Charge sheeted,290
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Discharged,19
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Acquitted,64
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),,92
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Male,Persons Arrested,3
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Male,Persons Charge sheeted,3
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Male,Persons Convicted,0
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Male,Persons Discharged,0
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Male,Persons Acquitted,0
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Female,Persons Arrested,0
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Female,Persons Charge sheeted,0
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Female,Persons Convicted,0
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Female,Persons Discharged,0
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Female,Persons Acquitted,0
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Arrested,0
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Charge sheeted,0
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Convicted,0
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Discharged,0
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Acquitted,0
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Arrested,3
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Charge sheeted,3
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Discharged,0
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Acquitted,0
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Male,Persons Arrested,2302
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Male,Persons Charge sheeted,1697
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Male,Persons Convicted,309
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Male,Persons Discharged,16
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Male,Persons Acquitted,579
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Female,Persons Arrested,195
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Female,Persons Charge sheeted,114
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Female,Persons Convicted,11
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Female,Persons Discharged,1
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Female,Persons Acquitted,47
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Arrested,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Charge sheeted,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Convicted,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Discharged,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Acquitted,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Arrested,2497
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Charge sheeted,1811
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Discharged,17
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Acquitted,626
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),,320
India,Telangana,"Calendar Year (Jan - Dec), 2021",Male,Persons Arrested,705
India,Telangana,"Calendar Year (Jan - Dec), 2021",Male,Persons Charge sheeted,2267
India,Telangana,"Calendar Year (Jan - Dec), 2021",Male,Persons Convicted,146
India,Telangana,"Calendar Year (Jan - Dec), 2021",Male,Persons Discharged,0
India,Telangana,"Calendar Year (Jan - Dec), 2021",Male,Persons Acquitted,227
India,Telangana,"Calendar Year (Jan - Dec), 2021",Female,Persons Arrested,66
India,Telangana,"Calendar Year (Jan - Dec), 2021",Female,Persons Charge sheeted,195
India,Telangana,"Calendar Year (Jan - Dec), 2021",Female,Persons Convicted,8
India,Telangana,"Calendar Year (Jan - Dec), 2021",Female,Persons Discharged,0
India,Telangana,"Calendar Year (Jan - Dec), 2021",Female,Persons Acquitted,11
India,Telangana,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Arrested,0
India,Telangana,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Charge sheeted,0
India,Telangana,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Convicted,0
India,Telangana,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Discharged,0
India,Telangana,"Calendar Year (Jan - Dec), 2021",Transgender,Persons Acquitted,0
India,Telangana,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Arrested,771
India,Telangana,"Calendar Year (Jan - Dec), 2021",Total (Male+Female+Transgender),Persons Charge sheeted,2462
