Country,State,Year,Gender,Type Of Action Against The Crime,"Number Of Persons Arrested (UOM:Number), Scaling Factor:1"
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Arrested,5
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Charge sheeted,4
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Discharged,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Acquitted,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),,0
India,Assam,"Calendar Year (Jan - Dec), 2022",Male,Persons Arrested,6
India,Assam,"Calendar Year (Jan - Dec), 2022",Male,Persons Charge sheeted,6
India,Assam,"Calendar Year (Jan - Dec), 2022",Male,Persons Convicted,0
India,Assam,"Calendar Year (Jan - Dec), 2022",Male,Persons Discharged,0
India,Assam,"Calendar Year (Jan - Dec), 2022",Male,Persons Acquitted,0
India,Assam,"Calendar Year (Jan - Dec), 2022",Female,Persons Arrested,0
India,Assam,"Calendar Year (Jan - Dec), 2022",Female,Persons Charge sheeted,0
India,Assam,"Calendar Year (Jan - Dec), 2022",Female,Persons Convicted,0
India,Assam,"Calendar Year (Jan - Dec), 2022",Female,Persons Discharged,0
India,Assam,"Calendar Year (Jan - Dec), 2022",Female,Persons Acquitted,0
India,Assam,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Arrested,0
India,Assam,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Charge sheeted,0
India,Assam,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Convicted,0
India,Assam,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Discharged,0
India,Assam,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Acquitted,0
India,Assam,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Arrested,6
India,Assam,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Charge sheeted,6
India,Assam,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Discharged,0
India,Assam,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Acquitted,0
India,Assam,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),,0
India,Bihar,"Calendar Year (Jan - Dec), 2022",Male,Persons Arrested,211
India,Bihar,"Calendar Year (Jan - Dec), 2022",Male,Persons Charge sheeted,236
India,Bihar,"Calendar Year (Jan - Dec), 2022",Male,Persons Convicted,0
India,Bihar,"Calendar Year (Jan - Dec), 2022",Male,Persons Discharged,0
India,Bihar,"Calendar Year (Jan - Dec), 2022",Male,Persons Acquitted,0
India,Bihar,"Calendar Year (Jan - Dec), 2022",Female,Persons Arrested,2
India,Bihar,"Calendar Year (Jan - Dec), 2022",Female,Persons Charge sheeted,6
India,Bihar,"Calendar Year (Jan - Dec), 2022",Female,Persons Convicted,0
India,Bihar,"Calendar Year (Jan - Dec), 2022",Female,Persons Discharged,0
India,Bihar,"Calendar Year (Jan - Dec), 2022",Female,Persons Acquitted,0
India,Bihar,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Arrested,0
India,Bihar,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Charge sheeted,0
India,Bihar,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Convicted,0
India,Bihar,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Discharged,0
India,Bihar,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Acquitted,0
India,Bihar,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Arrested,213
India,Bihar,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Charge sheeted,242
India,Bihar,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Discharged,0
India,Bihar,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Acquitted,0
India,Bihar,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Male,Persons Arrested,54
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Male,Persons Charge sheeted,57
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Male,Persons Convicted,13
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Male,Persons Discharged,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Male,Persons Acquitted,10
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Female,Persons Arrested,3
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Female,Persons Charge sheeted,4
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Female,Persons Convicted,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Female,Persons Discharged,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Female,Persons Acquitted,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Arrested,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Charge sheeted,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Convicted,0
