Country,State,Year,City Name,Additional Information,"Crime Rate (UOM:Number), Scaling Factor:1","Chargesheeting Rate (UOM:Ratio), Scaling Factor:1","Percentage City Share To Total (UOM:%(Percentage)), Scaling Factor:1","Rank Based On Incidence Or Percentage City Share To Total (UOM:Number), Scaling Factor:1"
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Surat ,,232,,4.7,
India,Karnataka,"Calendar Year (Jan - Dec), 2019",Bengaluru ,,209,,4.3,
India,Kerala,"Calendar Year (Jan - Dec), 2019",Kochi ,,11,,0.2,
India,Kerala,"Calendar Year (Jan - Dec), 2019",Kozhikode ,,27,,0.6,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2019",Indore ,,100,,2,
India,Maharashtra,"Calendar Year (Jan - Dec), 2019",Mumbai ,,1231,,25.1,
India,Maharashtra,"Calendar Year (Jan - Dec), 2019",Nagpur ,,106,,2.2,
India,Maharashtra,"Calendar Year (Jan - Dec), 2019",Pune ,,224,,4.6,
India,Rajasthan,"Calendar Year (Jan - Dec), 2019",Jaipur ,,24,,0.5,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2019",Chennai ,,552,,11.3,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2019",Coimbatore ,,66,,1.3,
India,Telangana,"Calendar Year (Jan - Dec), 2019",Hyderabad ,,193,,3.9,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2019",Ghaziabad ,,0,,0,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2019",Kanpur ,,0,,0,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2019",Lucknow ,,8,,0.2,
India,West Bengal,"Calendar Year (Jan - Dec), 2019",Kolkata ,,14,,0.9,
India,Bihar,"Calendar Year (Jan - Dec), 2018",Patna ,,0,,,
India,Delhi,"Calendar Year (Jan - Dec), 2018",Delhi City,,770,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2018",Ahmedabad ,,733,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2018",Surat ,,161,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2018",Bengaluru ,,269,,,
India,Kerala,"Calendar Year (Jan - Dec), 2018",Kochi ,,34,,,
India,Kerala,"Calendar Year (Jan - Dec), 2018",Kozhikode ,,37,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2018",Indore ,,114,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2018",Mumbai ,,1043,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2018",Nagpur ,,207,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2018",Pune ,,169,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2018",Jaipur ,,17,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Chennai ,,495,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Coimbatore ,,100,,,
India,Telangana,"Calendar Year (Jan - Dec), 2018",Hyderabad ,,29,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Ghaziabad ,,1,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Kanpur ,,0,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Lucknow ,,7,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2018",Kolkata ,,44,,,
India,Bihar,"Calendar Year (Jan - Dec), 2017",Patna ,,7,,,
India,Delhi,"Calendar Year (Jan - Dec), 2017",Delhi City,,736,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2017",Ahmedabad ,,534,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2017",Surat ,,131,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2017",Bengaluru ,,184,,,
India,Kerala,"Calendar Year (Jan - Dec), 2017",Kochi ,,27,,,
India,Kerala,"Calendar Year (Jan - Dec), 2017",Kozhikode ,,9,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2017",Indore ,,0,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2017",Mumbai ,,1115,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2017",Nagpur ,,121,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2017",Pune ,,178,,,
