Country,Year,Gender,Crime Head,Action Against Crime,"Number Of Disposal Persons Arrested For Crime Against Senior Citizen (UOM:Number), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2022",Male,"Forgery , Cheating & Fraud",Persons Discharged,1
India,"Calendar Year (Jan - Dec), 2022",Male,"Forgery , Cheating & Fraud",Persons Acquitted,56
India,"Calendar Year (Jan - Dec), 2022",Male,Fraud,Persons Arrested,50
India,"Calendar Year (Jan - Dec), 2022",Male,Fraud,Persons Chargesheeted,24
India,"Calendar Year (Jan - Dec), 2022",Male,Fraud,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Male,Fraud,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Male,Fraud,Persons Acquitted,4
India,"Calendar Year (Jan - Dec), 2022",Male,Grievous Hurt,Persons Arrested,106
India,"Calendar Year (Jan - Dec), 2022",Male,Grievous Hurt,Persons Chargesheeted,101
India,"Calendar Year (Jan - Dec), 2022",Male,Grievous Hurt,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Male,Grievous Hurt,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Male,Grievous Hurt,Persons Acquitted,8
India,"Calendar Year (Jan - Dec), 2022",Male,Kidnapping and Abduction,Persons Arrested,19
India,"Calendar Year (Jan - Dec), 2022",Male,Kidnapping and Abduction,Persons Chargesheeted,5
India,"Calendar Year (Jan - Dec), 2022",Male,Kidnapping and Abduction,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Male,Kidnapping and Abduction,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Male,Kidnapping and Abduction,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Male,Murder,Persons Arrested,137
India,"Calendar Year (Jan - Dec), 2022",Male,Murder,Persons Chargesheeted,127
India,"Calendar Year (Jan - Dec), 2022",Male,Murder,Persons Convicted,8
India,"Calendar Year (Jan - Dec), 2022",Male,Murder,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Male,Murder,Persons Acquitted,3
India,"Calendar Year (Jan - Dec), 2022",Male,Other IPC Crimes,Persons Arrested,521
India,"Calendar Year (Jan - Dec), 2022",Male,Other IPC Crimes,Persons Chargesheeted,471
India,"Calendar Year (Jan - Dec), 2022",Male,Other IPC Crimes,Persons Convicted,10
India,"Calendar Year (Jan - Dec), 2022",Male,Other IPC Crimes,Persons Discharged,16
India,"Calendar Year (Jan - Dec), 2022",Male,Other IPC Crimes,Persons Acquitted,44
India,"Calendar Year (Jan - Dec), 2022",Male,Rape,Persons Arrested,12
India,"Calendar Year (Jan - Dec), 2022",Male,Rape,Persons Chargesheeted,11
India,"Calendar Year (Jan - Dec), 2022",Male,Rape,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Male,Rape,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Male,Rape,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Male,Robbery,Persons Arrested,300
India,"Calendar Year (Jan - Dec), 2022",Male,Robbery,Persons Chargesheeted,249
India,"Calendar Year (Jan - Dec), 2022",Male,Robbery,Persons Convicted,17
India,"Calendar Year (Jan - Dec), 2022",Male,Robbery,Persons Discharged,2
India,"Calendar Year (Jan - Dec), 2022",Male,Robbery,Persons Acquitted,18
India,"Calendar Year (Jan - Dec), 2022",Male,Simple Hurt,Persons Arrested,430
India,"Calendar Year (Jan - Dec), 2022",Male,Simple Hurt,Persons Chargesheeted,538
India,"Calendar Year (Jan - Dec), 2022",Male,Simple Hurt,Persons Convicted,18
India,"Calendar Year (Jan - Dec), 2022",Male,Simple Hurt,Persons Discharged,4
India,"Calendar Year (Jan - Dec), 2022",Male,Simple Hurt,Persons Acquitted,55
India,"Calendar Year (Jan - Dec), 2022",Male,Theft,Persons Arrested,380
India,"Calendar Year (Jan - Dec), 2022",Male,Theft,Persons Chargesheeted,329
India,"Calendar Year (Jan - Dec), 2022",Male,Theft,Persons Convicted,36
India,"Calendar Year (Jan - Dec), 2022",Male,Theft,Persons Discharged,6
India,"Calendar Year (Jan - Dec), 2022",Male,Theft,Persons Acquitted,30
India,"Calendar Year (Jan - Dec), 2022",Female,Assault on Women with Intent to Outrage her Modesty,Persons Arrested,2
India,"Calendar Year (Jan - Dec), 2022",Female,Assault on Women with Intent to Outrage her Modesty,Persons Chargesheeted,2
India,"Calendar Year (Jan - Dec), 2022",Female,Assault on Women with Intent to Outrage her Modesty,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Assault on Women with Intent to Outrage her Modesty,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Female,Assault on Women with Intent to Outrage her Modesty,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Attempt to Commit Murder,Persons Arrested,1
India,"Calendar Year (Jan - Dec), 2022",Female,Attempt to Commit Murder,Persons Chargesheeted,1
India,"Calendar Year (Jan - Dec), 2022",Female,Attempt to Commit Murder,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Attempt to Commit Murder,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Female,Attempt to Commit Murder,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Attempt to commit Culpable Homicide,Persons Arrested,0
India,"Calendar Year (Jan - Dec), 2022",Female,Attempt to commit Culpable Homicide,Persons Chargesheeted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Attempt to commit Culpable Homicide,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Attempt to commit Culpable Homicide,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Female,Attempt to commit Culpable Homicide,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Cheating,Persons Arrested,31
India,"Calendar Year (Jan - Dec), 2022",Female,Cheating,Persons Chargesheeted,25
India,"Calendar Year (Jan - Dec), 2022",Female,Cheating,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Cheating,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Female,Cheating,Persons Acquitted,1
India,"Calendar Year (Jan - Dec), 2022",Female,Criminal Intimidation,Persons Arrested,14
India,"Calendar Year (Jan - Dec), 2022",Female,Criminal Intimidation,Persons Chargesheeted,14
India,"Calendar Year (Jan - Dec), 2022",Female,Criminal Intimidation,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Criminal Intimidation,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Female,Criminal Intimidation,Persons Acquitted,2
India,"Calendar Year (Jan - Dec), 2022",Female,Criminal Trespass,Persons Arrested,13
India,"Calendar Year (Jan - Dec), 2022",Female,Criminal Trespass,Persons Chargesheeted,6
India,"Calendar Year (Jan - Dec), 2022",Female,Criminal Trespass,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Criminal Trespass,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Female,Criminal Trespass,Persons Acquitted,1
India,"Calendar Year (Jan - Dec), 2022",Female,Culpable Homicide not amounting to Murder,Persons Arrested,0
India,"Calendar Year (Jan - Dec), 2022",Female,Culpable Homicide not amounting to Murder,Persons Chargesheeted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Culpable Homicide not amounting to Murder,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Culpable Homicide not amounting to Murder,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Female,Culpable Homicide not amounting to Murder,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Dacoity,Persons Arrested,1
