Country,State,Year,City Name,"Actual Population (UOM:Number), Scaling Factor:100000","Number Of Kidnapping And Abduction (UOM:Number), Scaling Factor:1","Charge Sheeting Rate (UOM:Ratio), Scaling Factor:1","Percentage City Share To Total (UOM:%(Percentage)), Scaling Factor:1","Rate Of Total Kidnapping & Abduction (UOM:Ratio), Scaling Factor:1"
India,Bihar,"Calendar Year (Jan - Dec), 2019",Patna,20.5,795,,5.3,38.8
India,Delhi,"Calendar Year (Jan - Dec), 2019",Delhi,163.1,5746,,38.6,35.2
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Ahmedabad,63.5,248,,1.7,3.9
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Surat,45.8,358,,2.4,7.8
India,Karnataka,"Calendar Year (Jan - Dec), 2019",Bengaluru,85.0,1053,,7.1,12.4
India,Kerala,"Calendar Year (Jan - Dec), 2019",Kochi,21.2,21,,0.1,1.0
India,Kerala,"Calendar Year (Jan - Dec), 2019",Kozhikode,20.3,27,,0.2,1.3
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2019",Indore,21.7,585,,3.9,27.0
India,Maharashtra,"Calendar Year (Jan - Dec), 2019",Mumbai,184.1,2102,,14.1,11.4
India,Maharashtra,"Calendar Year (Jan - Dec), 2019",Nagpur,25.0,536,,3.6,21.5
India,Maharashtra,"Calendar Year (Jan - Dec), 2019",Pune,50.5,655,,4.4,13.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2019",Jaipur,30.7,829,,5.6,27.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2019",Chennai,87.0,49,,0.3,0.6
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2019",Coimbatore,21.5,7,,0.0,0.3
India,Telangana,"Calendar Year (Jan - Dec), 2019",Hyderabad,77.5,519,,3.5,6.7
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2019",Ghaziabad,23.6,408,,2.7,17.3
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2019",Kanpur,29.2,292,,2.0,10.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2019",Lucknow,29.0,269,,1.8,9.3
India,West Bengal,"Calendar Year (Jan - Dec), 2019",Kolkata,141.1,378,,2.5,2.7
India,Bihar,"Calendar Year (Jan - Dec), 2018",Patna,20.5,806,,5.3,39.4
India,Delhi,"Calendar Year (Jan - Dec), 2018",Delhi,163.1,5124,,33.8,31.4
India,Gujarat,"Calendar Year (Jan - Dec), 2018",Ahmedabad,63.5,277,,1.8,4.4
India,Gujarat,"Calendar Year (Jan - Dec), 2018",Surat,45.8,373,,2.5,8.1
India,Karnataka,"Calendar Year (Jan - Dec), 2018",Bengaluru,85.0,1090,,7.2,12.8
India,Kerala,"Calendar Year (Jan - Dec), 2018",Kochi,21.2,11,,0.1,0.5
India,Kerala,"Calendar Year (Jan - Dec), 2018",Kozhikode,20.3,19,,0.1,0.9
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2018",Indore,21.7,523,,3.5,24.1
India,Maharashtra,"Calendar Year (Jan - Dec), 2018",Mumbai,184.1,2202,,14.5,12.0
India,Maharashtra,"Calendar Year (Jan - Dec), 2018",Nagpur,25.0,498,,3.3,19.9
India,Maharashtra,"Calendar Year (Jan - Dec), 2018",Pune,50.5,636,,4.2,12.6
India,Rajasthan,"Calendar Year (Jan - Dec), 2018",Jaipur,30.7,537,,3.5,17.5
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Chennai,87.0,56,,0.4,0.6
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Coimbatore,21.5,10,,0.1,0.5
India,Telangana,"Calendar Year (Jan - Dec), 2018",Hyderabad,77.5,411,,2.7,5.3
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Ghaziabad,23.6,547,,3.6,23.2
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Kanpur,29.2,541,,3.6,18.5
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Lucknow,29.0,1112,,7.3,38.3
India,West Bengal,"Calendar Year (Jan - Dec), 2018",Kolkata,141.1,378,,2.5,2.7
India,Bihar,"Calendar Year (Jan - Dec), 2017",Patna,20.5,542,,,
India,Delhi,"Calendar Year (Jan - Dec), 2017",Delhi,163.1,5203,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2017",Ahmedabad,63.5,263,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2017",Surat,45.8,332,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2017",Bengaluru,85.0,1050,,,
India,Kerala,"Calendar Year (Jan - Dec), 2017",Kochi,21.2,19,,,
India,Kerala,"Calendar Year (Jan - Dec), 2017",Kozhikode,20.3,13,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2017",Indore,21.7,669,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2017",Mumbai,184.1,2159,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2017",Nagpur,25.0,494,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2017",Pune,50.5,964,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Jaipur,30.7,520,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Chennai,87.0,54,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Coimbatore,21.5,5,,,
