Country,State,Year,Price Type,"Agriculture, Forestry And Fishing (UOM:INR(IndianRupees)), Scaling Factor:10000000","Mining And Quarrying (UOM:INR(IndianRupees)), Scaling Factor:10000000","Manufacturing (UOM:INR(IndianRupees)), Scaling Factor:10000000","Electricity, Gas, Water Supply And Other Utility Services (UOM:INR(IndianRupees)), Scaling Factor:10000000","Construction (UOM:INR(IndianRupees)), Scaling Factor:10000000","Trade, Repair, Hotels And Restaurants (UOM:INR(IndianRupees)), Scaling Factor:10000000","Transport, Storage, Communication And Services Related To Broadcasting (UOM:INR(IndianRupees)), Scaling Factor:10000000","Financial Services (UOM:INR(IndianRupees)), Scaling Factor:10000000","Real Estate, Ownership Of Dwelling And Professional Services (UOM:INR(IndianRupees)), Scaling Factor:10000000","Public Administration, Defence And Other Services (UOM:INR(IndianRupees)), Scaling Factor:10000000","Other Services (UOM:INR(IndianRupees)), Scaling Factor:10000000","Total Net State Value Added (Nsva) At Basic Prices (UOM:INR(IndianRupees)), Scaling Factor:10000000"
India,Meghalaya,"Financial Year (Apr - Mar), 2014",Current Prices,3798.05,655.74,3108.551406,293.22,1273.25,3748.187962,1001.490165,629.08,1208.18,1917.58,1856.75,19490.07953
India,Meghalaya,"Financial Year (Apr - Mar), 2014",Constant Prices,3526.27,574.66,2730.504558,364.26,977.15,3280.652013,831.2900597,602.2874773,991.9,1512.88,1495.46,16887.31411
India,Mizoram,"Financial Year (Apr - Mar), 2014",Current Prices,4106.61,34.58,65.12,920.8,1184.85,1165.89,408.41,232.49,416.91,1556.43,1809.46,11901.55
India,Mizoram,"Financial Year (Apr - Mar), 2014",Constant Prices,3211.7,30.19,57.02,689.38,1007.55,1020.23,357.53,252.15,352.27,1366.49,1456.45,9800.96
India,Nagaland,"Financial Year (Apr - Mar), 2014",Current Prices,5478.865957,57.62246008,188.401687,250.77948,1273.470675,1460.529569,678.598199,501.31,1244.39374,2434.77,2378.948322,15947.69009
India,Nagaland,"Financial Year (Apr - Mar), 2014",Constant Prices,3949.440321,54.7205036,114.102088,136.98664,885.649925,1086.903986,566.769795,543.88,1052.757778,1942.658963,1970.989136,12304.85914
India,Odisha,"Financial Year (Apr - Mar), 2014",Current Prices,61404.45201,23072.32005,34755.52509,6503.124897,22532.99022,29396.6262,16161.22845,10454.99509,19970.25246,12008.8446,19631.86756,255892.2266
India,Odisha,"Financial Year (Apr - Mar), 2014",Constant Prices,43694.41662,25109.52166,32510.93071,5991.740721,20079.57692,25728.5631,14512.82752,10009.67748,17248.28474,10543.32274,15681.14696,221110.0092
India,Puducherry,"Financial Year (Apr - Mar), 2014",Current Prices,969.543207,282.796594,3934.676782,331.26154,3005.53192,1946.83237,734.166342,717.99,1982.43744,771.67,2685.666666,17362.57286
India,Puducherry,"Financial Year (Apr - Mar), 2014",Constant Prices,744.837341,248.1,3472.23,44.22,2135.3,1673.18,643.5751304,648.72,1424.51,572.12,2057.62,13664.41247
India,Punjab,"Financial Year (Apr - Mar), 2014",Current Prices,90281.66,71.96,35617.22,8012.56,21731.72,33373.19,14405.48,16647.92,26334.44,13859.01,30087.78,290422.94
India,Punjab,"Financial Year (Apr - Mar), 2014",Constant Prices,74878.96,63.59,34937.24,5319.31,18994.71,29641.69,13136.85,16238.82,23795.57,12426.51,27019.93,256453.18
India,Rajasthan,"Financial Year (Apr - Mar), 2014",Current Prices,142126.9351,41795.01919,48759.61678,8687.583005,53036.35982,66433.39,28893.12821,18770.6,56178.69506,15167.24,39672.64978,519521.2169
India,Rajasthan,"Financial Year (Apr - Mar), 2014",Constant Prices,128324.1987,34250.83532,43793.36409,4698.992778,42619.31168,51605.61,24722.30381,17823.06,46283.55114,11859.97,31621.37883,437602.5764
India,Sikkim,"Financial Year (Apr - Mar), 2014",Current Prices,1230.317769,10.70396722,5602.83594,1493.765997,729.656162,647.1764311,382.116162,200.79,451.8581586,858.53,1386.226572,12993.97716
India,Sikkim,"Financial Year (Apr - Mar), 2014",Constant Prices,855.2909943,9.4118112,4997.784584,1223.951824,621.680874,547.2379708,338.045516,192.24,383.489634,686.8551796,1104.289074,10960.27746
India,Tamil Nadu,"Financial Year (Apr - Mar), 2014",Current Prices,122630.3971,2248.780238,144709.7741,10940.96159,112137.9163,116906.8224,59695.37107,56141.81,145117.3404,27421.94,69564.26381,867515.3771
India,Tamil Nadu,"Financial Year (Apr - Mar), 2014",Constant Prices,92905.27665,1940.332703,128427.4259,2998.834044,94726.26369,96180.01585,51855.48567,53307.9,115860.6792,21310.51,53487.99742,713000.7211
India,Telangana,"Financial Year (Apr - Mar), 2014",Current Prices,71272.05,12498.86,45155.93,4966.56,26170.68,62116.86,29273.2,29703.65,83406.78,13615.85,38749.91,416930.33
India,Telangana,"Financial Year (Apr - Mar), 2014",Constant Prices,51882.61,10703.73,39854.11,4501.76,21833.35,50340.68,25095.34,28204.26,66962.02,10648.29,29611.59,339637.74
India,Tripura,"Financial Year (Apr - Mar), 2014",Current Prices,7982.23,3357.75,1402.09,840.62,1413.65,2991.27,869.02,843.65,1457.76,2417.02,2399.85,25974.91
India,Tripura,"Financial Year (Apr - Mar), 2014",Constant Prices,6421.73,3387.06,1347.35,860.75,1260.86,2935.59,729.17,807.69,1444.34,2397.7,2349.76,23942
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2014",Current Prices,223702.86,8162.3,84214.91,12964.43,106234.04,85893.13874,60750.42268,34559.74,121441.16,47219.67,43859.17,829001.8414
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2014",Constant Prices,169230.673,7916.1,74657.09,5445.07,86183.17,75160.74342,53525.7035,33086.76,95848.49,39484.63,35652.47,676190.8999
