Country,State,Year,Price Type,"Agriculture, Forestry And Fishing (UOM:INR(IndianRupees)), Scaling Factor:10000000","Mining And Quarrying (UOM:INR(IndianRupees)), Scaling Factor:10000000","Manufacturing (UOM:INR(IndianRupees)), Scaling Factor:10000000","Electricity, Gas, Water Supply And Other Utility Services (UOM:INR(IndianRupees)), Scaling Factor:10000000","Construction (UOM:INR(IndianRupees)), Scaling Factor:10000000","Trade, Repair, Hotels And Restaurants (UOM:INR(IndianRupees)), Scaling Factor:10000000","Transport, Storage, Communication And Services Related To Broadcasting (UOM:INR(IndianRupees)), Scaling Factor:10000000","Financial Services (UOM:INR(IndianRupees)), Scaling Factor:10000000","Real Estate, Ownership Of Dwelling And Professional Services (UOM:INR(IndianRupees)), Scaling Factor:10000000","Public Administration, Defence And Other Services (UOM:INR(IndianRupees)), Scaling Factor:10000000","Other Services (UOM:INR(IndianRupees)), Scaling Factor:10000000","Total Net State Value Added (Nsva) At Basic Prices (UOM:INR(IndianRupees)), Scaling Factor:10000000"
India,Sikkim,"Financial Year (Apr - Mar), 2013",Constant Prices,8.39,0.09,44.34,11.2,6.23,5.6,3.2,1.79,3.78,6.49,10.18,101.28
India,Tamil Nadu,"Financial Year (Apr - Mar), 2013",Current Prices,1027.37,27.3,1379.53,86.51,1071.88,1075.11,554.83,501.84,1239.06,231.83,585.98,7781.24
India,Tamil Nadu,"Financial Year (Apr - Mar), 2013",Constant Prices,866.87,24.21,1256.91,42.08,937.77,929.12,488.17,484,1040.88,191.25,489.97,6751.24
India,Telangana,"Financial Year (Apr - Mar), 2013",Current Prices,722.67,103.31,478.57,58.73,231.05,494.61,264.7,261.54,729.22,111.75,328.16,3784.31
India,Telangana,"Financial Year (Apr - Mar), 2013",Constant Prices,580.76,89.43,435.01,60.31,199.77,419.24,230.23,252.24,612.91,91.75,267.67,3239.32
India,Tripura,"Financial Year (Apr - Mar), 2013",Current Prices,67.26,11.27,11.49,3.63,16.59,30.85,9.28,7.1,15.13,23.88,31.27,227.76
India,Tripura,"Financial Year (Apr - Mar), 2013",Constant Prices,62.05,10.87,9.65,2.8,15.63,22.81,5.27,6.8,12.85,21.48,31.28,201.5
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2013",Current Prices,2189.43,74.41,941.28,110.08,950.32,799.12,507.35,308.73,1103.3,429.07,377.24,7790.34
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2013",Constant Prices,1743.19,62.76,855.28,58.06,809.71,706.19,450.75,297.96,916.21,373.43,323.77,6597.3
India,Uttarakhand,"Financial Year (Apr - Mar), 2013",Current Prices,141.95,25.65,479.08,24.73,116.67,154.29,73.44,35.32,56.33,37.86,77.12,1222.44
India,Uttarakhand,"Financial Year (Apr - Mar), 2013",Constant Prices,120.27,20.67,440.11,31.19,100.5,135.41,63.24,34.06,46.93,31.48,67.53,1091.4
India,West Bengal,"Financial Year (Apr - Mar), 2013",Current Prices,,,,,,,,,,,,
India,West Bengal,"Financial Year (Apr - Mar), 2013",Constant Prices,,,,,,,,,,,,
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2012",Current Prices,5.549250497,-0.391291573,0.511331462,1.12269617,5.713903396,3.941723672,4.285306088,1.113,3.231063583,6.620234479,7.045840127,38.7430579
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2012",Constant Prices,5.518718426,-0.427772118,0.509753065,1.27615791,5.335432402,3.666934309,4.084911951,1.0986,2.984117321,5.981031221,6.311630124,36.33951461
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012",Current Prices,1047.941465,127.9591,322.7857,44.6622,356.4077,297.66,332.8241,155.6233,299.4192,122.8686,274.5392,3382.690565
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012",Constant Prices,912.7073279,125.7453,304.7249,47.7771,337.1104,276.44,311.3772963,153.6254,281.9272,113.5735,252.1945,3117.202924
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2012",Current Prices,53.383,3.0724,1.199,5.7833,10.213,4.8612,2.3884,2.1187,3.8265,11.7163,16.18,114.7418
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2012",Constant Prices,46.2088,2.8521,1.1338,5.0253,9.4745,4.4617,2.1651,2.1275,3.5804,10.6804,14.9689,102.6785
India,Assam,"Financial Year (Apr - Mar), 2012",Current Prices,313.1489,127.2547,130.4587,13.6995,120.3628,223.1416,75.2139,44.9114,102.6126,72.2921,114.7534,1337.8496
India,Assam,"Financial Year (Apr - Mar), 2012",Constant Prices,305.4015,117.3259,119.9593,12.4218,111.6543,207.4835,69.0502,44.0033,92.0204,65.0932,104.2971,1248.7105
India,Bihar,"Financial Year (Apr - Mar), 2012",Current Prices,718.0168,2.033,84.4985,28.9185,263.7178,509.5231,186.1196,96.0103,280.2547,114.8981,272.5898,2556.5802
India,Bihar,"Financial Year (Apr - Mar), 2012",Constant Prices,634.9085,1.8683,78.9607,25.4246,242.3545,459.7175,174.9017,94.1217,257.2395,101.9108,245.5029,2316.9108
India,Chandigarh,"Financial Year (Apr - Mar), 2012",Current Prices,1.248,0.0184,10.6058,1.9184,13.8303,72.5208,9.6867,31.5035,32.334,12.0031,11.5338,197.2029
India,Chandigarh,"Financial Year (Apr - Mar), 2012",Constant Prices,1.1489,0.0168,10.0609,1.8189,12.7046,67.3906,9.0874,31.5035,30.0928,10.8456,10.7381,185.408
India,Chhattisgarh,"Financial Year (Apr - Mar), 2012",Current Prices,295.993,168.9652,245.7605,63.4688,181.9654,102.2444,57.7283,59.855,174.7425,47.5364,82.2746,1480.5341
India,Chhattisgarh,"Financial Year (Apr - Mar), 2012",Constant Prices,264.5351,170.099,231.3479,63.2141,169.0637,94.7399,54.9044,58.6776,158.1372,43.2267,75.1627,1383.1082
India,Delhi,"Financial Year (Apr - Mar), 2012",Current Prices,25.1156,65.5963,200.8472,46.8119,169.2371,455.958,387.073,588.662,752.5305,140.3545,252.3219,3084.508
India,Delhi,"Financial Year (Apr - Mar), 2012",Constant Prices,21.6922,61.2799,191.2978,42.6152,154.1563,424.3878,369.2034,581.1046,683.7023,127.9003,228.4765,2885.8164
India,Goa,"Financial Year (Apr - Mar), 2012",Current Prices,20.8915,18.5077,135.4856,8.3672,13.3127,24.182,10.6188,20.2161,26.9271,21.7355,12.9586,313.2027
India,Goa,"Financial Year (Apr - Mar), 2012",Constant Prices,17.7524,18.3383,129.4246,8.0587,12.2273,22.1272,10.0084,19.8185,24.6957,19.9206,11.8769,294.2485
India,Gujarat,"Financial Year (Apr - Mar), 2012",Current Prices,937.1257,203.4702,1622.7678,170.0591,445.5021,807.4263,310.3759,340.0333,326.1534,169.8941,219.5089,5552.3168
India,Gujarat,"Financial Year (Apr - Mar), 2012",Constant Prices,874.9764,202.7817,1504.0279,147.8592,437.5741,750.1425,294.9625,333.3444,302.0281,157.9822,204.4575,5210.1365
India,Haryana,"Financial Year (Apr - Mar), 2012",Current Prices,672.9049,0.8702,554.467,44.1583,288.6392,369.8448,170.8675,129.7982,437.1607,63.9584,139.4857,2872.1549
India,Haryana,"Financial Year (Apr - Mar), 2012",Constant Prices,593.5277,0.7848,527.1626,13.8998,261.2669,343.5137,162.9498,127.2448,404.8176,58.8556,130.6686,2624.6918
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2012",Current Prices,246.9333,9.3112,225.6890,82.2295,133.3581,113.5037,63.4223,57.4847,150.2163,128.8609,133.7493,1344.7581
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2012",Constant Prices,211.2091,5.4936,208.4366,96.0592,124.9207,105.4681,58.8008,56.0672,138.6325,118.5918,124.5684,1248.2480
India,Jharkhand,"Financial Year (Apr - Mar), 2012",Current Prices,239.5965,165.1034,356.2247,19.8,137.8972,131.4047,96.6004,45.43,116.3065,72.1118,83.5956,1464.0708
India,Jharkhand,"Financial Year (Apr - Mar), 2012",Constant Prices,222.1943,151.3376,338.8295,18.5362,127.1097,122.2203,90.1861,44.5363,107.0974,66.0874,77.6851,1365.8199
India,Karnataka,"Financial Year (Apr - Mar), 2012",Current Prices,751.0318,35.7912,929.2604,75.0505,496.5442,667.3157,339.469,315.505,1635.2977,138.845,336.5765,5720.6871
India,Karnataka,"Financial Year (Apr - Mar), 2012",Constant Prices,654.8062,34.4918,877.8247,69.4461,451.6224,616.6306,320.3295,311.4742,1511.4598,128.4481,309.9122,5286.4456
India,Kerala,"Financial Year (Apr - Mar), 2012",Current Prices,408.9863,23.5208,358.7813,35.2636,525.1556,626.6807,277.9788,160.1339,443.1327,133.6124,410.2938,3403.5399
India,Kerala,"Financial Year (Apr - Mar), 2012",Constant Prices,390.324,20.1176,340.442,30.3269,487.3178,583.7231,263.1519,150.1329,406.652,122.5802,378.0023,3172.7708
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2012",Current Prices,1207.4748,109.9074,231.3456,66.4195,331.8465,387.1557,193.1837,170.1445,148.0665,148.2897,200.4704,3194.3043
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2012",Constant Prices,1081.5449,114.2449,217.696,58.5534,307.6966,350.5256,183.9855,167.9602,133.421,134.9881,181.2657,2931.8819
India,Maharashtra,"Financial Year (Apr - Mar), 2012",Current Prices,1522.3761,518.6059,2361.5815,193.7572,775.4884,1185.9782,637.6004,1268.0417,1654.9346,313.149,694.2444,11125.7573
India,Maharashtra,"Financial Year (Apr - Mar), 2012",Constant Prices,1396.8773,414.4712,2224.4532,186.5293,722.7089,1081.5261,592.9253,1251.7621,1520.1347,282.2294,641.2096,10314.8271
India,Manipur,"Financial Year (Apr - Mar), 2012",Current Prices,27.1876,,2.1852,4.0541,10.0561,13.6691,7.5298,2.5258,12.3175,18.9647,23.251,121.7409
India,Manipur,"Financial Year (Apr - Mar), 2012",Constant Prices,25.3024,,2.0586,4.1338,9.3671,12.7182,6.9228,2.3665,11.6631,18.1567,22.2114,114.9006
India,Meghalaya,"Financial Year (Apr - Mar), 2012",Current Prices,30.0176,10.7852,44.7317,4.6362,9.8423,31.4414,8.6214,5.556,10.2574,14.3027,14.9999,185.1918
India,Meghalaya,"Financial Year (Apr - Mar), 2012",Constant Prices,29.3046,10.0061,42.2228,3.1555,9.1971,29.2209,7.903,5.4468,9.4995,13.038,13.7905,172.7848
India,Mizoram,"Financial Year (Apr - Mar), 2012",Current Prices,15.4726,0.3256,0.593,3.9967,8.3832,9.3778,3.2596,1.9248,3.7497,13.5009,14.6832,75.2671
India,Mizoram,"Financial Year (Apr - Mar), 2012",Constant Prices,13.9809,0.3098,0.5253,3.6689,7.7185,8.9706,2.9973,1.887,3.4018,12.9109,13.4149,69.7856
India,Nagaland,"Financial Year (Apr - Mar), 2012",Current Prices,40.24223374,0.580869553,1.476641531,2.519943311,10.77468553,12.2547196,5.37070285,5.219278739,11.28557945,13.96258226,18.40599864,122.0932352
India,Nagaland,"Financial Year (Apr - Mar), 2012",Constant Prices,34.73592431,0.304986032,1.390641109,2.204225797,9.965170255,11.16886012,4.95910156,5.1166,11.47319418,12.4518,16.8509595,110.6214629
India,Odisha,"Financial Year (Apr - Mar), 2012",Current Prices,499.7577,223.1443,345.9143,38.7118,196.6107,237.0054,125.7367,89.4227,167.4815,76.2906,173.4373,2173.5131
India,Odisha,"Financial Year (Apr - Mar), 2012",Constant Prices,421.4297,213.3999,327.385,32.2167,190.6542,220.1986,119.7795,88.2747,155.1685,71.061,159.0586,1998.6265
India,Puducherry,"Financial Year (Apr - Mar), 2012",Current Prices,7.6814,3.2128,36.9736,2.0176,23.247,18.2518,6.6478,6.283,13.9827,6.8606,20.6451,145.8034
India,Puducherry,"Financial Year (Apr - Mar), 2012",Constant Prices,6.6602,2.9218,35.0079,1.7855,20.7325,16.852,6.1319,6.1594,12.1773,5.9482,18.457,132.8337
India,Punjab,"Financial Year (Apr - Mar), 2012",Current Prices,802.2317278,0.174317194,323.3572986,53.3672213,194.6414814,276.0185813,127.4242325,162.7162531,219.1506147,115.663663,227.4595329,2502.204924
India,Punjab,"Financial Year (Apr - Mar), 2012",Constant Prices,756.1119592,0.168868938,309.2551736,49.0821245,183.8751567,253.8774066,120.9110798,152.4619943,209.1763628,107.8750714,221.1138564,2363.909054
India,Rajasthan,"Financial Year (Apr - Mar), 2012",Current Prices,1282.579723,297.5697322,457.0746242,69.25956492,432.8428868,500.9210425,229.1505623,146.8117,429.58449,126.1354,271.5656573,4243.495383
India,Rajasthan,"Financial Year (Apr - Mar), 2012",Constant Prices,1150.804425,282.9333522,434.8466894,45.21106117,404.0715327,452.7090926,217.6414811,143.9237,397.851945,114.4515,250.4378018,3894.88258
India,Sikkim,"Financial Year (Apr - Mar), 2012",Current Prices,9.582972717,0.076356518,44.17141922,12.75439975,6.418317737,5.0334262,3.123860106,1.7379,3.90787804,6.6076,11.04335701,104.4574873
India,Sikkim,"Financial Year (Apr - Mar), 2012",Constant Prices,8.18209051,0.072358141,41.16667216,11.71158925,5.971931035,4.666761252,2.93052328,1.7037,3.645116925,6.153583308,10.10523997,96.30956583
India,Tamil Nadu,"Financial Year (Apr - Mar), 2012",Current Prices,794.8401674,27.93109934,1464.396193,82.9051056,972.7211734,920.0226602,527.1784648,438.7096,1059.707632,200.1501,500.3564344,6988.91863
India,Tamil Nadu,"Financial Year (Apr - Mar), 2012",Constant Prices,736.3077878,25.49074078,1388.769335,38.2144741,878.3323946,844.7194786,485.8068558,433.1047,962.1515486,180.3957,455.9299562,6429.222971
India,Telangana,"Financial Year (Apr - Mar), 2012",Current Prices,635.9894,111.4586,461.0226,38.6369,223.4923,426.0326,249.2792,232.1354,620.7688,98.7233,279.4488,3376.9879
India,Telangana,"Financial Year (Apr - Mar), 2012",Constant Prices,559.5879,104.561,436.2566,34.941,219.7135,384.3246,231.4249,229.1698,558.734,88.4425,246.9463,3094.1021
India,Tripura,"Financial Year (Apr - Mar), 2012",Current Prices,54.4703,11.2836,10.6951,3.6806,14.6091,24.5477,8.1859,6.678,12.0198,21.5255,24.8776,192.5732
India,Tripura,"Financial Year (Apr - Mar), 2012",Constant Prices,52.9771,10.8737,10.5242,3.5502,14.4549,24.3486,4.2273,6.4289,11.9548,21.1209,24.6484,185.109
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2012",Current Prices,1970.1012,60.5231,771.4453,80.4712,885.8939,691.3439,423.1598,276.2189,987.7309,392.2459,338.9457,6878.0798
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2012",Constant Prices,1767.2497,56.9944,739.2673,57.175,813.3292,644.8847,398.3599,273.1371,891.2923,363.4262,311.7501,6316.8659
India,Uttarakhand,"Financial Year (Apr - Mar), 2012",Current Prices,140.1549285,16.10957696,444.2738186,28.11768999,88.73456914,134.4055018,63.64781763,31.47453309,51.90271295,30.7267,62.22449986,1091.772349
India,Uttarakhand,"Financial Year (Apr - Mar), 2012",Constant Prices,123.0429004,13.90634786,422.9589548,29.78963926,80.28175303,124.5013837,58.39400825,31.07239923,49.86023168,27.95874286,57.45040176,1019.216763
India,West Bengal,"Financial Year (Apr - Mar), 2012",Current Prices,,,,,,,,,,,,
India,West Bengal,"Financial Year (Apr - Mar), 2012",Constant Prices,,,,,,,,,,,,
